Entity,Code,Year,GDP (constant 2015 US$),time
Senegal,SEN,2024,28192309478,2024
Serbia,SRB,2024,56488865191,2024
Seychelles,SYC,2024,2012826895,2024
Sierra Leone,SLE,2024,9800852625,2024
Singapore,SGP,2024,408736675576,2024
Slovakia,SVK,2024,107345393746,2024
Slovenia,SVN,2024,55381990841,2024
Solomon Islands,SLB,2024,1589090836,2024
Somalia,SOM,2024,8878930663,2024
South Africa,ZAF,2024,365414753361,2024
South Korea,,,1764487367948,2023
S. Sudan,,,,2024
Spain,ESP,2024,1424805636601,2024
Sri Lanka,LKA,2024,91751304716,2024
Sudan,SDN,2024,29338888294,2024
Suriname,SUR,2024,4653387372,2024
Sweden,SWE,2024,580446460657,2024
Switzerland,CHE,2024,811109937475,2024
Syria,,,15806030725,2023
Tajikistan,TJK,2024,15847607943,2024
Tanzania,TZA,2024,74463225268,2024
Thailand,THA,2024,471105678432,2024
Togo,TGO,2024,8787100467,2024
Tonga,,,492688338,2023
Trinidad and Tobago,TTO,2024,22138889023,2024
Tunisia,TUN,2024,48948478709,2024
Turkey,TUR,2024,1295423120852,2024
Turkmenistan,TKM,2024,59349032299,2024
Tuvalu,,,46855113,2023
Uganda,UGA,2024,49356997179,2024
Ukraine,UKR,2024,78535131746,2024
United Arab Emirates,ARE,2024,462404360915,2024
United Kingdom,GBR,2024,3271966955942,2024
United States of America,USA,2024,22679489969555,2024
Uruguay,URY,2024,64204978531,2024
Uzbekistan,UZB,2024,141462755525,2024
Vanuatu,VUT,2024,883260050,2024
Vietnam,VNM,2024,405742875627,2024
Yemen,,,,2024
Zambia,ZMB,2024,28695824119,2024
Zimbabwe,ZWE,2024,23634169920,2024
